,CD3,CD4,CD8a,CD69,CD62L,CD44,CD25,CD127,TCRgd,CD19,IgM,CD335,NK-1.1,CD90.2,I-A-I-E,CD45R,CD11b,CD172a,XCR1,CD103,CD64,CD11c,CD24,CD326,CD195,CD196,CXCR4,CD134,CD278,CD223,CD274,KLRG1,CD27,CD21-CD35,CD86,IgD,CD1d,CD138,CD117,CX3CR1,F4-80,CD192
27969,2,1,5,7,1,15,0,0,6,5,0,11,2,24,16,1,14,0,1,0,1,1,4,0,0,3,0,10,0,1,0,2,0,2,5,1,0,0,0,5,0,0
27970,2,1,5,3,0,20,2,0,2,2,0,14,0,12,11,4,31,1,2,0,0,1,3,0,0,2,0,4,1,0,2,0,0,3,3,0,1,1,5,5,0,0
27971,0,0,4,9,1,12,0,0,5,4,1,15,3,30,19,5,37,1,2,0,3,1,10,2,1,1,0,4,2,0,1,0,0,1,4,5,0,1,1,7,3,0
27972,2,2,3,2,2,9,0,0,3,0,1,5,1,20,13,3,21,1,1,2,1,0,5,0,1,1,1,4,0,0,0,1,0,4,7,2,0,2,0,2,0,0
27973,1,1,0,0,0,26,2,0,1,1,3,7,3,14,5,5,17,0,3,0,0,1,2,2,0,2,0,7,0,0,0,0,0,2,3,1,1,1,1,6,2,0
27974,3,2,1,3,1,30,1,0,3,1,1,8,1,15,9,3,21,2,4,0,0,1,5,0,0,2,0,3,0,1,2,0,1,1,5,4,0,0,3,3,0,1
27975,4,0,4,3,1,17,3,0,7,4,0,18,4,24,15,3,29,3,6,2,0,3,7,1,0,3,0,6,1,0,1,0,1,1,3,2,0,1,1,4,2,0
27976,1,0,0,6,0,30,0,1,2,1,0,10,3,11,9,1,20,1,0,0,2,1,2,0,0,3,0,1,0,0,2,0,1,2,0,2,0,2,1,7,1,2
27977,5,1,2,2,1,41,1,0,4,1,1,11,2,30,19,3,38,0,3,4,2,2,12,2,1,3,0,4,2,1,1,0,0,0,7,7,0,3,3,5,4,0
27978,3,2,6,1,1,19,0,0,7,1,0,11,3,37,14,4,31,0,3,2,0,0,7,0,1,3,2,8,0,0,1,0,0,4,12,2,0,1,2,5,1,0
27979,3,0,7,2,2,12,0,0,3,0,0,11,0,17,7,1,21,0,4,0,2,2,4,1,0,0,0,4,1,0,0,0,1,2,5,1,0,2,3,9,0,0
27980,3,0,0,29,1,20,0,0,2,3,0,6,1,21,4,3,25,0,3,0,0,0,4,0,2,2,0,3,2,0,0,0,0,0,8,3,1,0,4,4,3,0
27981,0,1,7,2,0,15,1,0,0,1,1,11,1,16,5,0,15,0,0,2,0,0,6,0,1,2,0,3,0,0,1,1,0,3,4,1,0,4,1,1,3,0
27982,2,2,2,3,1,24,0,1,2,2,1,13,3,17,12,4,22,0,5,0,0,0,3,0,0,1,0,2,0,1,0,0,0,3,4,4,1,0,2,5,4,0
27983,1,0,2,2,1,15,1,1,4,7,2,11,1,28,14,3,27,0,1,2,0,1,4,0,0,2,1,5,0,0,0,0,0,0,12,3,0,1,3,10,0,0
27984,0,2,2,3,1,8,0,0,5,2,1,13,0,27,7,3,15,0,1,2,0,3,8,0,0,3,0,4,1,0,1,0,0,1,5,1,0,1,0,1,0,1
27985,0,2,3,2,3,31,1,0,6,3,2,7,4,13,11,3,20,3,3,2,0,0,4,0,1,1,0,5,4,0,0,2,0,1,6,5,1,0,1,1,0,2
27986,0,0,3,1,2,32,3,0,1,0,0,8,4,7,13,2,15,0,2,0,0,1,1,1,1,1,0,1,2,0,0,1,0,1,5,7,2,1,0,4,2,2
27987,2,0,6,8,1,18,0,0,4,0,1,7,2,12,5,2,20,0,3,5,0,0,6,0,0,0,0,4,1,0,1,0,0,1,5,3,0,1,1,3,1,1
27988,1,0,4,2,1,15,0,0,4,6,0,13,3,20,7,4,20,1,4,2,0,5,2,1,0,2,0,4,0,0,1,0,0,3,6,1,0,1,1,3,1,2
27989,4,0,1,3,1,113,0,0,2,2,1,8,3,25,14,5,26,0,1,2,2,1,3,0,2,2,2,3,2,1,1,1,0,1,5,4,0,1,1,7,1,1
27990,2,2,1,3,0,7,0,0,4,0,0,9,1,12,6,3,16,0,3,3,0,0,4,1,0,1,0,9,0,0,0,0,0,2,3,1,0,2,0,1,2,1
27991,1,1,3,1,0,11,0,0,2,1,1,12,2,24,7,6,37,0,6,2,1,2,5,1,0,1,0,4,0,0,0,1,0,4,6,1,0,1,2,5,1,0
27992,2,0,3,1,2,14,0,0,3,1,0,16,1,21,9,4,23,0,4,2,0,0,4,0,0,3,0,1,1,0,0,0,0,0,5,0,0,1,1,5,1,0
