CD3,CD4,CD8a,CD69,CD62L,CD44,CD25,CD127,TCRgd,CD19,IgM,CD335,NK-1.1,CD90.2,I-A-I-E,CD45R,CD11b,CD172a,XCR1,CD103,CD64,CD11c,CD24,CD326,CD195,CD196,CXCR4,CD134,CD278,CD223,CD274,KLRG1,CD27,CD21-CD35,CD86,IgD,CD1d,CD138,CD117,CX3CR1,F4-80,CD192,Species,Sample
0,0,0,3,0,24,0,0,4,0,0,16,1,3,18,2,19,0,1,1,0,3,5,2,0,1,0,2,0,0,0,0,0,0,4,0,0,2,1,0,1,0,HUMAN,EtOH1
2,1,2,1,0,27,0,0,0,2,1,4,0,4,5,3,12,0,2,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,HUMAN,EtOH1
2,0,0,1,1,2,0,0,1,1,0,1,0,3,4,0,6,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,HUMAN,EtOH1
1,1,4,3,3,27,1,0,8,1,0,20,3,15,31,7,37,1,2,4,0,1,8,0,1,4,0,2,2,0,1,1,0,2,7,4,0,0,1,2,3,0,HUMAN,EtOH1
0,1,1,0,3,10,2,0,3,0,0,7,0,11,10,1,14,0,0,3,1,1,2,1,0,0,0,2,0,0,1,0,0,2,1,2,0,0,1,0,0,1,HUMAN,EtOH1
0,0,2,0,1,5,1,1,0,2,0,3,1,5,9,4,15,0,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,0,HUMAN,EtOH1
0,1,1,1,1,13,0,1,0,3,0,5,1,5,10,1,9,0,0,1,0,0,1,0,0,1,0,4,0,0,1,0,0,0,2,2,0,0,2,0,1,0,HUMAN,EtOH1
0,1,2,0,1,50,1,0,1,0,1,5,0,5,12,2,46,0,2,1,0,1,10,2,1,2,0,3,0,0,0,0,0,2,3,1,1,2,2,3,2,0,HUMAN,EtOH1
1,2,3,1,0,38,0,0,1,1,0,4,0,2,10,7,12,0,3,1,0,1,0,0,0,3,0,3,0,0,0,1,0,2,2,2,0,0,2,2,1,2,HUMAN,EtOH1
1,0,2,2,1,18,0,0,2,0,0,5,0,4,6,6,14,0,0,2,1,1,1,0,0,2,0,0,1,1,0,0,0,1,2,1,0,0,3,0,0,0,HUMAN,EtOH1
